depth,mag,nst,gap,dmin,rms,horizontalError,depthError,lon_sin,lon_cos,lat_sin,lat_cos
16.265,5.2,106.0,56.0,0.404,0.82,3.99,2.123,0.8517955164404954,-0.5238744106862537,0.40185028828288677,0.9157053815540022
,5.4,85.0,174.0,2.017,0.78,7.09,1.902,-0.9630329134522616,-0.269383755277947,0.31338590796433236,0.9496258593200645
46.324,5.2519,71.0,78.0,2.517,0.98,10.33,6.389,-0.021991120999710623,-0.99975816605676,-0.5252503764243708,0.8509477316886489
,5.3,227.0,59.0,1.62,0.58,6.99,1.801,-0.30229336272449275,0.9532149405316297,0.8843711998705417,0.46678429797877563
28.583,5.1,88.0,64.0,0.316,1.01,4.89,1.824,0.851443305832654,-0.5244466578716672,0.3982704436907743,0.9172680380795756
489.707,5.136,123.0,38.0,1.847,0.83,10.53,6.127,0.5683593887430163,-0.8227804113052674,0.29324450466247126,0.9560374785986488
,5.4,74.0,42.0,12.325,0.83,10.2,1.854,-0.41387039500258815,0.9103358150377264,-0.020633563363341115,0.9997871053694036
87.0,5.7,193.0,38.0,3.245,0.54,9.49,1.931,0.15869056314842434,-0.9873283674480522,-0.37328896755120566,0.9277151215241427
,5.367800000000001,57.0,72.0,3.628,1.11,9.87,1.772,-0.05753789041220305,-0.9983433232946035,-0.4153331773794528,0.9096693639822592
,5.2519,102.0,31.0,6.439,0.89,6.84,1.751,0.9896954178972969,0.1431886161435148,0.5519966555169189,0.8338463241498015
,5.6,26.0,191.03000000000029,2.062,0.63,8.15,1.965,-0.9348579010315505,-0.3550221188586477,0.4337959024069642,0.9010111625584489
16.0,5.6,73.0,43.0,1.138,0.6,4.99,1.773,0.5870097940193519,0.8095798303597724,0.6426458767109223,0.7661633488665781
62.0,5.4,126.0,53.0,4.455,0.93,8.27,1.874,0.5972514523156803,-0.8020540522351411,0.386611167624332,0.9222428124242285
,5.367800000000001,83.0,67.0,28.54581000000003,0.52,5.22,1.844,-0.27729453073000787,0.9607849620113882,-0.6908079602872526,0.7230382852959901
,5.2,217.0,120.0,1.826,0.78,8.54,1.883,-0.9363049394154094,-0.3511880698803799,0.44273162696890495,0.8966541732917248
,5.1,61.0,162.0,1.208,0.49,6.5,1.909,-0.766990475016148,-0.6416584848924727,0.7687424959863074,0.639558421776105
387.775,5.4,273.0,19.0,2.488,0.78,9.28,4.3,-0.037198344985,-0.999307902065413,-0.3628235258276045,0.9318578695842117
154.0,5.5,256.0,113.0,0.85,0.97,6.34,1.818,-0.9966837046251301,0.08137317085333694,0.19298608092608915,0.9812014943775763
32.0,6.3,386.0,29.0,1.351,0.81,4.97,1.826,0.7388706389755552,-0.6738472963957449,0.5482976082964705,0.8362832849796594
,5.136,68.0,40.0,9.984,0.97,7.53,1.734,0.5232498712662426,-0.8521793075520319,-0.8898236883492422,0.45630450759613445
,5.0,73.0,67.0,1.427,0.76,5.12,1.852,-0.9366740229171182,-0.35020247685055267,0.4408276438950787,0.897591771563172
57.532,5.0,168.0,34.0,6.712,0.69,8.29,5.486,0.9986659189069311,-0.05163702560929401,0.19734081432936065,0.9803349442919113
51.666,5.136,217.0,20.0,2.685,0.85,8.37,4.498,0.8064064174750142,-0.5913617250508466,0.1682708875362073,0.985740791693119
9.219,5.4,269.0,24.0,0.851,0.73,6.85,2.865,0.5673796188397785,-0.823456354717861,0.22385062516899337,0.9746234645294822
,5.0,78.0,55.0,6.721,0.81,10.08,1.759,0.20773243241736783,-0.9781856861158641,-0.25564149401561004,0.9667716517034758
7.556,5.9,293.0,30.0,2.352,0.49,6.25,2.675,0.7459155718544227,-0.6660405090271083,0.4915072960391671,0.8708734569041972
71.991,5.4,105.0,32.0,5.513,0.99,8.03,4.695,0.471135044773559,-0.8820610917539763,-0.09109491729580793,0.9958422144310162
49.0,6.5,107.0,42.0,5.257,0.81,7.55,1.938,0.48335419639977717,-0.8754248801711805,-0.10203731072752331,0.9947805723974985
,5.3,133.0,84.0,13.439,0.56,10.69,1.881,-0.604240380181332,0.79680208518698,0.13297776411367268,0.9911190212337408
39.341,5.0,220.0,25.0,1.525,0.71,5.57,4.287,0.802727973798417,-0.5963453697996557,0.036720451509862126,0.9993255767971276
,5.0,102.0,46.0,16.384,0.64,9.75,1.73,0.8536835322316534,-0.5207921147602828,-0.7550644318340616,0.6556505958047364
,5.4,99.0,42.0,1.678,0.94,7.01,1.777,-0.12071380375867838,-0.9926873513761074,-0.2595152374050063,0.965739013167959
,5.136,41.0,116.0,24.236,0.71,13.06,1.898,0.9997936800891862,0.020312490091615683,-0.6709198627010734,0.7415298630757717
38.856,5.2,131.0,67.0,1.596,0.65,7.23,1.49,0.8019080922329962,-0.5974474132601433,0.03884125624711783,0.9992453936912322
,5.5,209.0,25.0,6.438,0.59,7.97,1.846,0.9899428340501951,0.14146796567657235,0.5526339314990801,0.8334241043765593
20.0,5.8,84.0,42.0,1.311,0.77,7.31,1.822,0.32530575356917013,-0.9456088867469438,-0.17752618305410037,0.9841160776708416
53.889,5.0,209.0,97.0,1.693,0.55,6.17,5.292,0.774055729247197,-0.6331174677890274,0.4737654654057506,0.880651056769293
45.378,5.136,71.0,112.0,2.966,0.78,3.14,7.054,0.8010814743530668,-0.598555320290712,0.06445915704421999,0.9979203460563115
,5.2,95.0,78.0,0.814,1.09,6.65,1.537,0.8073343310546964,-0.5900942957701472,0.13303311843488524,0.9911115928085443
,5.136,61.0,79.0,1.001,0.86,8.58,1.822,0.9786117929327208,0.20571572310595387,-0.6251949813885009,0.7804685997826126
9.55,5.2,169.0,102.0,4.777,0.61,9.27,4.154,0.8106450244336795,-0.585537910267917,0.20570035108247853,0.9786150241870115
203.694,5.0,259.0,79.0,1.025,0.9,7.4,5.117,-0.9303286271246194,0.36672693595156186,-0.29671158634863687,0.954967137930136
8.0,5.4,278.0,25.0,2.696,0.44,7.65,1.816,0.9918161925164589,0.1276739607835305,0.6686064389710881,0.7436164533994664
,5.136,131.0,96.0,2.504,0.54,8.18,1.883,0.9912657896493604,0.13187924124300218,0.6677701978292833,0.7443674918284919
,5.2519,47.0,38.0,8.353,0.63,6.23,1.859,0.7327305878951159,0.6805188355680376,-0.6271123931384978,0.778928781322212
30.53,5.136,159.0,29.0,8.157,0.65,7.61,4.234,0.984075152457949,-0.17775290240911565,0.4702264977995709,0.8825457726187068
22.0,6.4,267.0,23.0,1.937,0.48,6.59,1.763,0.7979796085560146,-0.6026844483880348,0.047075069635472463,0.9988913543618322
,5.7155000000000005,78.0,90.0,14.808,0.39,10.87,1.818,0.713435145316085,-0.7007212665731051,-0.02765994045354342,0.9996173906520966
6.66,5.9,177.0,22.0,2.49,0.48,5.49,2.809,0.7141832076516652,-0.6999588172945452,-0.02958076048464122,0.9995623935548748
38.64,5.2,68.0,46.0,2.735,0.81,8.75,6.065,-0.12413836187016693,-0.992264917807836,-0.2831584218807874,0.9590731505562973
109.823,5.2519,62.0,43.0,1.598,0.92,12.55,4.819,-0.027059771957671598,-0.999633817325924,-0.5120053851872947,0.8589822381977464
50.529,5.1,117.0,24.0,0.816,0.63,4.89,3.717,0.7501883963668674,-0.6612241450193027,0.5248255483901841,0.851209811830751
,5.136,79.0,76.0,2.3,0.59,7.02,1.801,0.9906447553853797,0.13646599806340495,0.6671723661564718,0.7449033721478073
193.139,5.136,78.0,87.0,0.11,0.78,8.54,5.097,-0.9998426587256908,0.01773859612094159,0.23877582786328172,0.9710747159864705
38.777,5.0,94.0,34.0,2.38,0.77,6.91,5.794,0.9705964474184626,-0.24071255941196634,-0.11406155587603758,0.9934736843375055
,5.136,45.0,86.0,4.444,0.86,9.27,1.851,0.8778116468789505,-0.47900596301472553,-0.15573109816550898,0.9877994862643757
,5.2519,247.0,44.0,2.394,0.6,5.86,1.738,0.9909100915891792,0.13452579821998678,0.6677753944784409,0.7443628298949126
47.071,5.2519,99.0,57.0,3.655,0.49,10.42,5.862,0.5109660605973594,-0.8596008869921061,-0.11125559201647195,0.9937918259097649
,5.4,65.0,56.0,11.459,0.72,11.87,1.821,-0.30478284794506094,0.9524218685007699,-0.8609161118329287,0.5087469394369583
19.63,5.0,43.0,90.0,2.642,0.87,9.44,4.451,0.1699222751145748,-0.985457467585429,-0.3742489342742933,0.9273282780086864
63.264,5.136,89.0,80.0,2.662,0.66,9.52,6.672,0.6031662255215802,-0.7976155116282846,-0.07024570817394801,0.9975297190977022
29.453,5.2,66.0,72.0,0.591,0.79,3.59,3.595,0.8508606301816121,-0.525391461680669,0.4045032184324375,0.9145365745981949
65.268,5.136,69.0,76.0,2.528,0.45,9.51,7.367,0.6653854127110312,-0.7465000017088886,-0.05716326224183579,0.9983648438571298
,5.1,81.0,159.0,13.079,0.52,8.38,1.871,-0.9744783131009117,-0.22448166360752372,-0.06844189988531099,0.9976551039011874
,5.0,106.0,33.0,6.141,0.84,6.3,1.603,0.9724859202196839,-0.23296165988092235,0.45621598232544675,0.8898690788373466
,5.136,76.0,87.0,0.711,0.85,4.27,1.831,0.8478019857374446,-0.5303129198686808,0.4008719563062796,0.9161340920668635
26.386,5.4,144.0,48.0,1.138,0.46,7.12,1.944,0.5986629725068462,-0.8010010270588092,0.654443940277097,0.7561105269962769
114.688,5.6,233.0,24.0,3.088,0.82,7.95,3.616,-0.0966083964228408,-0.9953224692232198,-0.31145603758434537,0.9502605625049684
69.136,5.9473,157.0,22.0,5.571,0.71,8.38,6.269,0.9927281674261702,-0.12037767898858114,0.4460791005956843,0.8949935396480498
222.0,6.8,199.0,31.0,3.869,0.85,8.22,1.918,0.5683335400535898,-0.8227982664360413,0.327387766129598,0.9448900732829569
77.926,5.0,50.0,136.0,1.733,0.96,7.45,5.601,-0.9980220132420343,-0.06286542041787917,0.2633949120103166,0.9646880948405435
20.304,5.0,81.0,58.0,0.652,0.72,3.67,4.031,0.8509578156151366,-0.5252340393039232,0.40799108138434204,0.9129859130955063
,5.136,75.0,44.0,12.323,0.62,4.46,1.823,-0.7068981817585338,0.7073153190950122,0.2575156412518918,0.9662741301052341
,5.2519,105.0,45.0,19.203,0.53,8.88,1.558,-0.6168737936919646,0.787062083101507,0.13845061626745075,0.9903693386081595
,5.3,81.0,30.0,13.891,0.55,10.77,1.812,-0.6176509968561003,0.7864523164710404,0.13872544570459466,0.9903308794105441
,5.136,40.0,79.0,23.812,0.4,11.02,1.856,-0.6172281412186221,0.7867842281641165,0.13984712275975925,0.9901731072170243
63.264,5.0,99.0,91.0,0.532,0.64,5.79,5.91,0.6095240965916848,-0.7927675420160001,0.6688309374994742,0.74341453916612
32.436,5.0,88.0,53.0,3.005,0.78,4.56,4.205,0.9736426325040194,0.22807898669242432,0.5471220978216131,0.8370528119989068
54.6,5.1,196.0,136.0,0.791,0.63,6.24,5.047,-0.9998111949932303,0.019431272892137575,0.2231735577573037,0.9747787252079045
29.0,6.1,304.0,59.0,2.7,0.64,6.43,1.705,0.6176400158500279,-0.7864609404291972,0.6116706484509267,0.7911125190664239
,5.1,253.0,28.0,8.737,0.68,6.65,1.766,0.9998768243081212,-0.015695101513103278,0.6219667547473254,0.7830436488402676
,5.136,44.0,132.0,3.648,0.76,13.71,1.846,-0.025965835253987907,-0.9996628308582663,-0.5429751384677871,0.8397487713631305
35.977,5.2,111.0,48.0,0.287,1.16,6.06,5.204,-0.9559955005344032,0.2933813268733645,-0.6011583014997572,0.7991299622326314
,5.1,62.0,54.0,2.223,0.69,5.52,1.864,0.9249532065676758,-0.3800809988149558,-0.1021918330431623,0.994764710501573
67.064,5.2519,73.0,66.0,1.794,0.45,8.28,5.518,0.8020123542633973,-0.5973074447961308,0.14789744461810767,0.9890027026633617
9.277,5.136,71.0,100.0,2.086,0.62,7.28,3.594,-0.9680273550931997,0.25084465270614065,-0.1802101382566813,0.983628134037202
,5.136,64.0,32.0,5.958,0.67,10.85,1.751,0.9760517343877791,0.21753852945767618,-0.5273265809669695,0.8496626842492767
13.194,5.1,107.0,65.0,0.643,0.64,3.49,3.479,0.8497271030034742,-0.5272227711521223,0.4093880682126372,0.9123603507414848
35.749,5.136,58.0,77.0,0.497,0.81,3.19,5.59,0.8514121830423804,-0.5244971826111252,0.41040852046425164,0.9119017744967624
41.798,5.7,131.0,24.0,0.694,0.78,4.24,4.338,0.8486598029005171,-0.5289390692138891,0.40984980282420597,0.9121530239630626
,5.2519,109.0,70.0,5.266,0.62,7.8,1.547,-0.9966196302781157,0.08215419979716106,0.017380858792035297,0.9998489414644851
22.545,5.2519,64.0,69.0,0.541,0.66,2.36,4.292,0.8521537357218747,-0.5232915159786686,0.40484955774646336,0.9143833088986768
,5.2519,68.0,63.0,0.741,0.61,2.79,1.798,0.8489827550295421,-0.5284205537850023,0.4049772257945978,0.9143267723236105
26.363,5.7,63.0,67.0,0.595,0.62,4.57,3.15,0.850044410118201,-0.5267110221238964,0.4033424793947767,0.9150490939374095
16.869,5.4837,99.0,41.0,0.606,0.69,3.88,3.209,0.8499156849619286,-0.5269187114306113,0.4033935847481017,0.9150265656165815
6.723,5.2519,79.0,73.0,0.577,0.71,3.35,4.426,0.8512702617464072,-0.5247274925770551,0.40471070978531115,0.9144447721896986
26.865,5.136,75.0,77.0,0.665,0.77,3.29,4.055,0.8511475182860728,-0.5249265683078532,0.40624868718319396,0.9137625534907476
,5.367800000000001,197.0,63.0,0.608,0.63,3.07,1.769,0.850205245192763,-0.5264513662692062,0.40950908467059843,0.9123060394255037
20.884,5.136,35.0,77.0,0.625,0.73,3.37,5.238,0.8520916242331799,-0.523392647934284,0.4079639923674063,0.9129980180327046
27.179,5.367800000000001,92.0,71.0,0.467,0.8,8.19,4.131,0.85177082849473,-0.5239145500226171,0.4031061007725169,0.9151532502919811
14.297,5.6,135.0,27.0,0.591,0.72,4.4,3.437,0.8505606388094868,-0.5258769815346529,0.4094485773421336,0.912333197090023
10.789,5.4837,109.0,52.0,0.619,0.7,3.77,4.569,0.8518202024947121,-0.5238342701865425,0.40672867087226167,0.9135490070546207
15.864,5.8314,115.0,49.0,0.594,0.69,3.29,3.182,0.85081752920786,-0.5254612564144309,0.4091444211303309,0.912469639307482
23.2,5.136,35.0,90.0,0.749,0.91,4.45,6.024,0.8499910872820022,-0.5267970686527779,0.40661865130061325,0.9135979818358129
38.611,5.367800000000001,58.0,67.0,0.738,0.8,4.0,7.242,0.8503439591416714,-0.526227280888465,0.40681476903119895,0.9135106697231797
35.0,5.2519,25.0,69.0,0.787,0.85,2.65,1.944,0.8494757981472515,-0.5276275849139145,0.40683071273817545,0.913503569326879
13.931,6.4,183.0,50.0,0.63,0.77,3.79,3.485,0.8509834823763198,-0.525192453032859,0.4083639172271361,0.9128192105268758
32.25,5.136,24.0,66.0,0.593,0.72,3.16,5.587,0.8504679249184356,-0.5260269087080339,0.40951067694439214,0.9123053246959297
,5.4837,43.0,97.0,1.188,0.91,8.85,1.843,0.5465872848409715,-0.8374021375958952,0.2726396169034513,0.9621162296181992
40.0,7.4,322.0,17.0,0.337,0.93,4.73,1.877,0.8517488820661265,-0.5239502284560087,0.4041137169101572,0.9147087535412883
,5.2,241.0,40.0,1.213,0.83,9.09,1.774,0.5467860392138991,-0.8372723734369697,0.2738484322292097,0.9617728610049276
,6.2,247.0,37.0,1.195,0.43,5.68,1.806,0.5464250433731999,-0.8375080130808282,0.2725254287308282,0.9621485803632817
73.0,5.9,147.0,29.0,0.806,0.98,4.39,1.879,0.6198009466439713,-0.7847590627315093,0.644704186333186,0.7644321501117444
,5.3,120.0,104.0,10.318,0.65,11.17,1.85,-0.9734204458370701,-0.2290254038886511,0.1434235309409649,0.9896614020827659
163.637,5.1,100.0,61.0,5.752,0.5,10.2,5.032,0.42109280379259806,-0.9070175580406856,-0.10897097159115866,0.9940449322593415
,5.0,46.0,76.0,3.831,0.82,12.73,1.899,0.1462159759002758,-0.9892526918798503,-0.3864807847553756,0.9222974590742777
,5.9,47.0,100.0,8.384,0.55,11.01,1.884,0.40608600946212975,-0.9138348608578702,-0.8887836769486436,0.45832693090156634
,5.5,52.0,52.0,1.516,1.0,8.44,1.582,-0.06965549087926498,-0.9975711065334484,-0.3395096151528729,0.9406025841016747
,5.1,44.0,114.0,23.106,1.01,14.2,1.862,-0.9847136561661426,-0.1741809844957477,-0.5909070264651353,0.8067396643739118
,5.136,168.0,76.0,0.865,0.7,5.25,1.824,0.9447471334793808,0.3278000210227161,0.6294099076626245,0.7770734637961372
77.27,5.1,138.0,57.0,5.976,0.48,8.37,3.106,0.42608405708004593,-0.9046835779996275,-0.11031197730568837,0.9938970105915951
,5.2,156.0,26.0,1.609,0.62,6.72,1.755,-0.07108137196889198,-0.9974705201453424,-0.33712647858328304,0.9414593657922976
10.249,5.3,102.0,67.0,1.58,0.82,7.18,3.467,-0.06971816998292388,-0.9975667279807563,-0.3382583694312404,0.9410532798464275
109.0,5.8,326.0,25.0,0.163,0.87,6.14,1.727,0.027986190669956244,-0.9996083098553077,0.7892373748364139,0.6140882397191189
,5.1,44.0,147.0,22.092,0.89,13.89,1.891,-0.9706430628205109,-0.240524519744698,-0.07021611084045806,0.9975318028907352
,5.2,188.0,36.0,10.814,0.49,9.56,1.825,-0.7057689515148011,0.7084420844908201,0.22153828586716093,0.9751516743025365
,5.136,32.0,79.0,10.791,0.72,9.45,1.705,-0.7058258266160476,0.7083854194446503,0.22105490182102625,0.9752613651636655
,5.4,85.0,78.0,1.286,1.04,7.71,1.756,-0.03317785518606131,-0.999449463417362,-0.4688981991298457,0.8832522170098344
570.902,5.6,127.0,34.0,3.343,0.54,5.44,5.368,0.5062204181907103,-0.8624041327630697,-0.07953781795182337,0.9968318491678838
26.873,5.8,209.0,32.0,0.553,1.16,5.89,3.694,0.3625307561440693,0.9319718079693233,0.6062993472890025,0.7952365066299016
,5.136,41.0,69.0,5.104,0.73,9.26,1.882,0.2076556052526144,-0.9782019983659666,-0.28983870877026147,0.9570755053277602
41.584,5.136,72.0,84.0,2.282,0.64,10.27,5.533,0.5411095102726986,-0.8409521376941973,0.2933262649986891,0.9560123965001285
25.174,5.0,103.0,31.0,2.292,0.74,9.8,4.158,0.5400390913022656,-0.8416399348090745,0.29258867586154963,0.9562383943126238
108.477,5.136,123.0,24.0,2.393,0.76,3.31,5.368,0.9464257363696171,0.32292154703151643,0.5912674222123089,0.8064755640627999
59.247,5.136,53.0,62.0,2.151,0.77,7.77,2.775,0.9387681393848762,-0.34454953268849103,-0.15980365769783964,0.9871488190675162
152.869,5.2,178.0,70.0,4.032,0.66,9.02,6.632,-0.96317007608018,0.2688929239375784,-0.1375378987441636,0.9904965049958734
475.748,5.136,110.0,104.0,5.118,0.76,11.03,5.954,-0.004604162299862276,-0.9999894007885867,-0.4126036929257447,0.9109106391869829
,5.136,164.0,54.0,5.188,0.66,8.95,1.862,-0.954826172566031,0.2971649040228404,-0.1519560574338682,0.9883872503270947
,5.3,100.0,39.0,4.994,0.49,7.93,1.843,0.10764711942088477,-0.9941891659439795,-0.3543563218877185,0.9351104732266705
,5.6,130.0,116.0,1.762,0.55,2.83,1.796,-0.801522110348111,-0.5979651383008131,0.6731441746225348,0.7395112711593694
,6.4,81.0,43.0,5.247,0.79,9.36,1.74,0.1090872115376146,-0.9940321827179177,-0.35953269494089574,0.9331324885934134
69.756,5.1,134.0,48.0,4.242,0.7,8.04,4.982,0.5609684644120742,-0.8278371711485052,-0.09291800170361572,0.9956737643221332
,5.4,267.0,28.0,6.269,0.47,9.35,1.782,-0.2652902464952175,0.9641685978678765,-0.027598877250429227,0.9996190784366391
14.482,5.3,63.0,135.0,1.084,0.93,12.31,4.661,-0.10108060667442346,-0.9948782392606296,-0.35228761730920594,0.9358917857800668
,5.5,33.0,114.0,4.571,0.75,13.38,1.916,0.364309592049329,-0.9312778968389894,-0.8576550243745671,0.5142254944720854
,5.5,301.0,54.0,12.889,0.56,9.49,1.85,-0.7249176774682905,0.688835510767251,0.28494565244046305,0.958543674099036
,5.2,136.0,55.0,3.619,0.43,7.77,1.784,0.28291904558943254,-0.9591437919534092,0.7925824007409777,0.6097648219073221
,5.367800000000001,80.0,37.0,1.753,0.66,8.08,1.519,0.588586979915162,-0.8084338977766511,0.20922433197679094,0.9778676694261169
79.08,5.0,62.0,125.0,0.809,0.92,2.58,4.997,-0.9402916914051763,0.3403697035201468,-0.33311084036436767,0.942887675193469
42.523,5.2519,83.0,26.0,2.162,0.8,7.8,5.218,0.7284032575613876,-0.6851486658922711,-0.03041116335164642,0.9995374736064674
59.621,5.367800000000001,138.0,47.0,1.858,0.8,8.29,4.446,0.8050025335303553,-0.5932713721474425,0.15223723625327254,0.9883439805543236
35.0,5.367800000000001,64.0,104.0,2.86,0.75,10.22,1.84,0.600196887833491,-0.7998522962616234,-0.07091772505219275,0.9974821683987246
62.174,5.7,126.0,52.0,2.082,0.98,8.03,4.007,0.8463493772342933,-0.5326281363720133,-0.1636823834781067,0.9865130903028738
,5.2519,53.0,61.0,5.066,0.76,11.7,1.885,0.4254444675485708,-0.9049845330348542,-0.16983455710655163,0.9854725887676539
35.0,5.2519,110.0,22.0,2.887,0.59,4.54,1.837,0.599896704377716,-0.8000774612978141,-0.07121019904696893,0.9974613313566051
35.0,5.136,56.0,31.0,3.049,0.37,10.72,1.876,0.5974712060892235,-0.8018903652584239,-0.07169416041194768,0.9974266626488516
41.464,6.9,147.0,32.0,2.909,0.76,8.06,2.476,0.5999455772093065,-0.8000408142007457,-0.07200576689777141,0.9974042157187144
62.692,5.3,107.0,28.0,0.299,0.91,8.04,3.824,0.975416606782564,-0.22036887986462325,-0.07949780249267899,0.9968350412173697
9.471,6.4,208.0,39.0,2.239,0.62,5.96,3.096,0.9247813001511614,-0.3804990760707933,-0.10236545068061924,0.9947468595109782
,5.2,68.0,55.0,2.238,0.61,6.94,1.861,0.9246597233845075,-0.38079442741522096,-0.1029487830715902,0.9946866582316658
,5.6,89.0,27.0,2.233,1.12,6.94,1.745,0.925085823510682,-0.37975810608802446,-0.10132543461431598,0.9948533340649867
3.161,5.367800000000001,78.0,44.0,0.157,0.7,6.79,4.64,0.9503138207511995,0.31129349830868147,0.6337576165811749,0.7735316951653296
43.89,5.367800000000001,75.0,81.0,15.7,0.75,8.13,5.372,-0.43266174266187335,0.9015563301518053,-0.8572706582027193,0.5148660200330534
12.374,5.1,112.0,36.0,3.312,0.65,5.02,3.111,0.6765341580966028,-0.7364112525814097,-0.035039037645421434,0.9993859443882942
45.002,5.2,268.0,51.0,1.367,0.6,5.08,4.172,0.6461506210884291,-0.7632099153359038,0.5874166590523288,0.8092846647921855
441.673,5.3,115.0,42.0,2.947,0.76,11.01,5.044,0.027974152613123325,-0.9996086468141308,-0.5210617713195629,0.8535189690155219
67.702,5.136,92.0,38.0,3.406,0.85,7.34,4.856,0.9833730190036846,-0.18159709660558726,-0.035229161080197524,0.9993792604459958
89.0,5.6,108.0,32.0,5.633,1.04,9.49,1.831,-0.45801355595361987,0.8889452078518227,-0.8314841568122918,0.5555484650056663
6.0,5.3,162.0,73.0,7.784,1.02,7.93,1.82,0.9088950539095433,0.4170249164963269,0.4962058965886629,0.8682048768526016
,5.5,24.0,64.0,28.54581000000003,0.76,8.71,1.837,-0.5963873997206013,-0.8026967481275228,-0.8338463241498015,0.551996655516919
61.638,5.136,102.0,67.0,2.312,0.61,9.38,2.208,0.31148423224571176,-0.9502513210000286,-0.18739160106348543,0.982285288422291
9.961,5.5,53.0,48.0,2.284,0.56,11.63,3.368,-0.015166329719288602,-0.9998849846071526,-0.519492268007306,0.854475150885399
8.0,5.5,279.0,22.0,5.769,0.55,7.64,1.75,0.9090842002268388,0.4166124300809194,0.4953100884825445,0.8687162461053747
35.0,5.3,119.0,25.0,2.896,1.09,4.83,1.792,0.6051286500048574,-0.7961277014043028,0.4104737737359441,0.9118724039441992
86.441,5.2519,96.0,67.0,3.175,0.57,10.31,6.045,0.545288779205343,-0.8382482611212185,-0.10827523574452164,0.9941209550776345
,5.3,79.0,54.0,3.49,0.62,8.25,1.768,0.5203077943800175,-0.8539788048349921,-0.05824007855724449,0.9983026060517152
,5.2,135.0,42.0,5.16,0.61,4.83,1.817,0.7432218988593444,0.6690449977810987,0.2183544449991433,0.9758695283433724
48.0,5.6,180.0,91.0,0.692,1.08,7.04,1.924,-0.9991622818291606,0.040923520986655304,0.2144898558713523,0.9767262163617226
48.55,5.3,150.0,73.0,2.67,0.49,6.87,4.208,0.6231304686385356,-0.7821179061077166,0.6036700459109624,0.7972342664925138
,5.3,58.0,64.0,1.06,0.89,6.02,1.754,0.4812886554335834,-0.8765621655940515,-0.08754346350419322,0.9961607008900171
,5.9,57.0,52.0,4.46,0.5,11.01,1.827,0.36887415086600117,-0.9294793493256784,-0.8565824570749393,0.5160101687287372
15.778,5.0,229.0,108.0,2.255,0.95,2.66,3.54,0.7651990091615819,-0.6437938151132964,0.476115423307849,0.8793827970164004
20.0,5.6,238.0,78.0,2.264,0.51,6.13,1.807,0.7648831765060263,-0.6441690199769396,0.475918955425901,0.8794891402776496
,5.4,102.0,68.0,16.372,0.52,9.88,1.76,-0.6772458869089024,0.73575675917043,0.4942544509687886,0.8693172825255123
,5.136,42.0,71.0,16.323,0.4,11.73,1.847,-0.6800007288687941,0.7332114352203658,0.4998926796989498,0.866087356323485
,6.2,189.0,54.0,16.297,0.59,9.43,1.776,-0.6776567053556064,0.7353783989801338,0.49693003883453263,0.867790606369941
,5.2,241.0,57.0,16.412,0.64,9.92,1.84,-0.6793759909599878,0.7337903398840397,0.4964528709544484,0.8680636767663337
44.0,5.6,122.0,71.0,2.4,0.78,1.82,1.896,0.6276492415081562,-0.7784962617984984,0.602971313281695,0.797762869128006
16.067,5.4,196.0,29.0,0.673,0.88,4.3,3.246,0.3204195602271393,0.9472757282987074,0.6814109719434549,0.7319010092321748
,5.0,28.0,83.0,21.129,0.78,14.06,1.831,0.9642847230720853,-0.2648678403464482,-0.7496665306459948,0.6618157544431817
20.044,5.0,60.0,142.0,1.591,0.86,7.68,1.982,-0.9469789271185083,0.3212956762757303,-0.3372990043611992,0.9413975683296318
,5.5,77.0,40.0,16.252,0.91,9.73,1.755,0.8102125159770038,-0.5861362290067159,-0.7622075610305203,0.6473327072749419
42.886,5.136,101.0,44.0,2.316,1.11,8.1,5.066,0.8168510214882391,-0.5768486878667755,-0.0022235476347726405,0.9999975279149024
39.0,5.7,150.0,28.0,2.309,0.97,6.95,1.838,0.8166868815201312,-0.577081049379481,-0.002542941979469196,0.9999967667178175
169.876,5.136,101.0,32.0,2.022,0.71,7.92,6.242,0.7676474568028656,-0.6408723601967029,-0.11420373767937429,0.9934573500156213
44.0,6.0,142.0,29.0,4.981,0.96,8.19,1.917,0.4896213949108966,-0.8719351407332473,-0.10159456463025109,0.9948258864935058
108.901,5.3,130.0,76.0,1.004,0.77,6.76,5.307,-0.9354619206011903,0.3534274962494181,-0.318342237114466,0.9479758541592487
,5.0,78.0,56.0,4.141,0.65,8.89,1.841,0.9292415918558704,0.36947268365221264,-0.14048133538622387,0.9900833270023808
13.89,5.1,71.0,60.0,0.79,0.74,4.5,1.646,-0.9539125104607464,0.3000848586424784,-0.5568263269548709,0.8306289433976806
,5.136,60.0,104.0,1.678,0.54,8.9,1.843,-0.12236130724623252,-0.9924856223084509,-0.26111950542423135,0.9653064818424275
16.18,5.0,66.0,84.0,1.114,0.51,5.51,3.803,-0.9980669602077958,0.062147750897116834,0.18468555283102597,0.9827976630901695
,5.0,37.0,79.0,10.596,0.82,11.06,1.867,0.6432661300995004,-0.7656426619950149,-0.7909342018297847,0.6119012080196291
50.855,5.136,88.0,31.0,5.378,0.64,9.08,4.3,0.47531405368767354,-0.8798162026054029,-0.11005177189942056,0.9939258561390774
,5.136,116.0,84.0,2.679,0.86,9.23,1.836,-0.12623879066504526,-0.9919998829291397,-0.32308837629019177,0.946368797618649
